Day,Classroom,Time,Course,Code
Monday,F-201,8:30am-10:30am,Data Structures(BDS-4A),BDS-4A
Monday,F-201,10:30am-12:00pm,COAL(BDS-4B),BDS-4B
Monday,F-201,12:00pm-1:30pm,Fundamentals of SE(BDS-4C),BDS-4C
Monday,F-201,1:30pm-3:00pm,Database Systems(BCS-4A),BCS-4A
Monday,F-201,3:00pm-4:30pm,Operating System(BCS-4B),BCS-4B
Monday,F-201,4:30pm-6:00pm,Probability and Stats(BCS-4C),BCS-4C
Monday,F-201,6:00pm-7:30pm,Free slot,Free slot
Monday,F-201,7:30pm-9:00pm,Free slot,Free slot
Monday,F-202,8:30am-10:30am,Free slot,Free slot
Monday,F-202,10:30am-12:00pm,COAL(BDS-4A),BDS-4A
Monday,F-202,12:00pm-1:30pm,Data Structures(BDS-4B),BDS-4B
Monday,F-202,1:30pm-3:00pm,Data Structures(BDS-4C),BDS-4C
Monday,F-202,3:00pm-4:30pm,Operating System(BCS-4A),BCS-4A
Monday,F-202,4:30pm-6:00pm,Probability and Stats(BCS-4D),BCS-4D
Monday,F-202,6:00pm-7:30pm,Technical and Business Writing(BCS-4B),BCS-4B
Monday,F-202,7:30pm-9:00pm,Free slot,Free slot
Monday,F-203,8:30am-10:30am,Technical and Business Writing(BCS-4A),BCS-4A
Monday,F-203,10:30am-12:00pm,Database Systems(BCS-4D),BCS-4D
Monday,F-203,12:00pm-1:30pm,Database Systems(BCS-4B),BCS-4B
Monday,F-203,1:30pm-3:00pm,Fundamentals of Management(BDS-4A),BDS-4A
Monday,F-203,3:00pm-4:30pm,Fundamentals of SE(BDS-4B),BDS-4B
Monday,F-203,4:30pm-6:00pm,COAL(BDS-4C),BDS-4C
Monday,F-203,6:00pm-7:30pm,Database Systems(BCS-4C),BCS-4C
Monday,F-203,7:30pm-9:00pm,Free slot,Free slot
Monday,F-204,8:30am-10:30am,Database Systems(BCS-4E),BCS-4E
Monday,F-204,10:30am-12:00pm,Free slot,Free slot
Monday,F-204,12:00pm-1:30pm,Free slot,Free slot
Monday,F-204,1:30pm-3:00pm,Operating System(BCS-4D),BCS-4D
Monday,F-204,3:00pm-4:30pm,Free slot,Free slot
